op_unique_carrier,month,mean_delay,flight_count
MQ,3,1.3432890405949,50434
MQ,4,3.10311617067789,50242
MQ,5,7.78344867358708,54162
MQ,6,12.7732780982616,54411
MQ,7,8.44003535628985,55702
MQ,8,7.08895603173426,56376
MQ,9,3.51904165921688,52096
MQ,10,3.69082779092925,54305
MQ,11,2.33397608947165,50568
MQ,12,5.6322050646155,52728
NK,1,1.184913912802,29033
NK,2,6.17198229818404,26625
NK,3,-0.659542806484296,31995
NK,4,4.53488372093023,31322
NK,5,8.30005224178728,32944
NK,6,11.2186756905067,33307
NK,7,12.0652928986311,34938
NK,8,14.7167272514071,34955
NK,9,-0.44203337370475,30676
NK,10,-1.23072131147541,30691
NK,11,1.1059447848885,31856
NK,12,2.2923464939594,32312
OH,1,5.96076423634544,43815
OH,2,9.74466923172397,41905
OH,3,4.28406571912896,47591
OH,4,8.41378936645209,47253
OH,5,8.30668157084405,48654
OH,6,14.5275085999505,48431
OH,7,10.3408773283828,49589
OH,8,11.7874761232456,49837
OH,9,2.19084497611927,46618
OH,10,2.32395194488784,48476
OH,11,4.66401960140885,46372
OH,12,7.03416142306604,47345
OO,1,11.3135919551976,125634
OO,2,12.7037810378646,115583
OO,3,5.7172172437563,135049
OO,4,3.52394442719652,131400
OO,5,6.74210405378361,137238
OO,6,10.9161095646202,139092
OO,7,8.41215742138498,143231
OO,8,8.84512430968156,145703
OO,9,2.43652306519253,130798
OO,10,3.67689222474914,139013
OO,11,4.64015709761375,130017
OO,12,7.62853768295782,136736
PT,1,0.86547811993517,15802
PT,2,4.09078705666243,15222
PT,3,-0.243822760750772,18037
PT,4,2.42558236026317,17650
PT,5,4.73668249699605,18284
PT,6,5.2938800354139,18857
PT,7,8.35980064563629,19083
PT,8,8.89008336989908,19278
PT,9,3.17039744175423,18475
PT,10,3.98634176625795,19941
PT,11,3.15456851422095,19171
PT,12,7.40246735146854,20437
QX,1,0.0650977005289863,18824
QX,2,7.7196930616456,16560
QX,3,1.19304505272127,19035
QX,4,-0.854853357551151,18884
QX,5,-1.84324159951346,19902
QX,6,0.797744435612083,20272
QX,7,-0.827321675322819,21144
QX,8,5.64336829722576,20784
QX,9,0.288704965920156,18814
QX,10,2.93061457145818,19686
QX,11,3.27633074935401,19900
QX,12,7.02509661953916,21158
UA,1,2.17738675149949,91387
UA,2,3.9898157643481,85372
UA,3,2.58937278969196,103451
UA,4,4.29218614377022,102229
UA,5,9.76189038485126,107176
UA,6,13.9402682513676,109131
UA,7,12.8236721898791,113315
UA,8,14.009466529058,114144
UA,9,4.4239530891345,104926
UA,10,2.92917800762112,110639
UA,11,5.03281610504322,101972
UA,12,5.89073791944998,102821
VX,1,-2.75363079615048,5720
VX,2,-0.905862134810006,5322
VX,3,8.08272859216255,6524
WN,1,-0.198947063820254,218453
WN,2,5.4662682911379,196517
WN,3,2.99822855188501,235833
WN,4,4.80024100811274,229518
WN,5,6.83662367558436,234698
WN,6,7.23346883349352,231152
WN,7,6.42141808666794,239456
WN,8,4.14504004280589,232060
WN,9,-1.36762800045077,216189
WN,10,0.946609243146343,231128
WN,11,0.548944714445433,221490
WN,12,4.39555419271979,227469
YV,1,5.25985344229667,33696
YV,2,11.3366820797711,31124
YV,3,4.17061277245755,34924
YV,4,4.72916117312707,34898
YV,5,8.35950964585534,37440
YV,6,14.0778551871832,38446
YV,7,11.1430785123967,39804
YV,8,12.5037376913956,40076
YV,9,9.31374846709361,38004
YV,10,13.5337239549121,38970
YV,11,7.2418038380695,36996
